date,close
2017-04-23,1232.2
2017-04-24,1250.94
2017-04-25,1267.58
2017-04-26,1294.83
2017-04-27,1319.7
2017-04-28,1331.28
2017-04-29,1327.2
2017-04-30,1347.91
2017-05-01,1434.32
2017-05-02,1473.9
2017-05-03,1492.77
2017-05-04,1608.91
2017-05-05,1618.03
2017-05-06,1578.8
2017-05-07,1596.72
2017-05-08,1723.35
2017-05-09,1833.49
2017-05-10,1788.44
2017-05-11,1873.93
2017-05-12,1856.15
2017-05-13,1812.99
2017-05-14,1831.42
2017-05-15,1812.8
2017-05-16,1785.94
2017-05-17,1864.05
2017-05-18,1904.48
2017-05-19,2004.52
2017-05-20,2084.73
2017-05-21,2119.08
2017-05-22,2303.9
2017-05-23,2320.82
2017-05-24,2523.72
2017-05-25,2763.71
2017-05-26,2573.79
2017-05-27,2260.2
2017-05-28,2267.34
2017-05-29,2307.05
2017-05-30,2301.96
2017-05-31,2311.08
2017-06-01,2448.39
2017-06-02,2488.55
2017-06-03,2581.91
2017-06-04,2585.89
2017-06-05,2686.81
2017-06-06,2999.91
2017-06-07,2869.38
2017-06-08,2815.3
2017-06-09,2901.71
2017-06-10,2950.99
2017-06-11,2996.6
2017-06-12,2997.26
2017-06-13,2789.04
2017-06-14,2786.83
2017-06-15,2534.71
2017-06-16,2539.92
2017-06-17,2685.19
2017-06-18,2662.1
2017-06-19,2662.85
2017-06-20,2763.45
2017-06-21,2772.01
2017-06-22,2723.74
2017-06-23,2765.17
2017-06-24,2757.94
2017-06-25,2682.26
2017-06-26,2615.25
2017-06-27,2552.45
2017-06-28,2603.98
2017-06-29,2588.83
2017-06-30,2559.25
2017-07-01,2515.27
2017-07-02,2514.28
2017-07-03,2595
2017-07-04,2631.59
2017-07-05,2622.65
2017-07-06,2616.72
2017-07-07,2916.14
2017-07-08,2571.34
2017-07-09,2635.49
2017-07-10,2537.16
2017-07-11,2413.47
2017-07-12,2423.71
2017-07-13,2425.22
2017-07-14,2363.25
2017-07-15,2231.14
2017-07-16,2058.77
2017-07-17,2230.49
2017-07-18,2387.61
2017-07-19,2397.17
2017-07-20,2900.7
2017-07-21,2838.41
2017-07-22,2862.42
2017-07-23,2832.18
2017-07-24,2777.26
2017-07-25,2768.08
2017-07-26,2610.76
2017-07-27,2693.32
2017-07-28,2897.45
2017-07-29,2808.76
2017-07-30,2758.53
2017-07-31,2889.62
2017-08-01,2921.35
2017-08-02,2762.53
2017-08-03,2813.31
2017-08-04,2899.33
2017-08-05,3290.01
2017-08-06,3293.29
2017-08-07,3397.68
2017-08-08,3484.85
2017-08-09,3422.76
2017-08-10,3453.45
2017-08-11,3679.72
2017-08-12,3949.92
2017-08-13,4208.39
2017-08-14,4325.13
2017-08-15,4455.97
2017-08-16,4381.23
2017-08-17,4484.7
2017-08-18,4370.13
2017-08-19,4243.26
2017-08-20,4196.29
2017-08-21,4109.14
2017-08-22,4128.76
2017-08-23,4255.78
2017-08-24,4376.39
2017-08-25,4455.7
2017-08-26,4379.28
2017-08-27,4416.59
2017-08-28,4403.93
2017-08-29,4625.68
2017-08-30,4626.52
2017-08-31,4736.05
2017-09-01,4892.01
2017-09-02,4975.04
2017-09-03,4714.08
2017-09-04,4591.63
2017-09-05,4427.84
2017-09-06,4617.25
2017-09-07,4655.04
2017-09-08,4661
2017-09-09,4308.82
2017-09-10,4245.44
2017-09-11,4261.67
2017-09-12,4344.65
2017-09-13,4131.98
2017-09-14,3920.6
2017-09-15,3733.45
2017-09-16,3808.84
2017-09-17,3664.81
2017-09-18,4079.23
2017-09-19,4094.07
2017-09-20,4031.39
2017-09-21,3916.42
2017-09-22,3758.27
2017-09-23,3819.21
2017-09-24,3796.15
2017-09-25,3950.25
2017-09-26,3969.89
2017-09-27,4210.05
2017-09-28,4279.31
2017-09-29,4214.63
2017-09-30,4358.43
2017-10-01,4403.74
2017-10-02,4470.23
2017-10-03,4432.47
2017-10-04,4352.31
2017-10-05,4362.64
2017-10-06,4413.27
2017-10-07,4443.88
2017-10-08,4624.14
2017-10-09,4878.71
2017-10-10,4922.17
2017-10-11,4873.73
2017-10-12,5446.91
2017-10-13,5840.3
2017-10-14,5837.7
2017-10-15,5852.48
2017-10-16,5776.23
2017-10-17,5800.35
2017-10-18,5603.82
2017-10-19,5744.35
2017-10-20,6060.11
2017-10-21,6194.88
2017-10-22,6076.26
2017-10-23,6075.59
2017-10-24,5935.52
2017-10-25,5754.33
2017-10-26,5976.8
2017-10-27,5988.39
2017-10-28,5876.72
2017-10-29,6255.71
2017-10-30,6214.99
2017-10-31,6470.43
2017-11-01,6767.31
2017-11-02,7367.33
2017-11-03,7461.29
2017-11-04,7492.86
2017-11-05,7617.48
2017-11-06,7445.77
2017-11-07,7253.32
2017-11-08,7776.42
2017-11-09,7446.83
2017-11-10,7312
2017-11-11,6873.15
2017-11-12,6625.05
2017-11-13,6811.19
2017-11-14,6764.98
2017-11-15,7342.25
2017-11-16,7967.38
2017-11-17,8004.59
2017-11-18,7884.99
2017-11-19,8101.91
2017-11-20,8336.86
2017-11-21,8348.66
2017-11-22,8302.26
2017-11-23,8267.4
2017-11-24,8374.16
2017-11-25,8790.92
2017-11-26,9522.93
2017-11-27,9818.35
2017-11-28,10125.7
2017-11-29,11517.4
2017-11-30,10801
2017-12-01,11046.7
2017-12-02,11320.2
2017-12-03,11858.7
2017-12-04,11657.2
2017-12-05,12032
2017-12-06,14369.1
2017-12-07,17899.7
2017-12-08,18353.4
2017-12-09,16783
2017-12-10,15850.6
2017-12-11,17513.9
2017-12-12,17781.8
2017-12-13,17653.1
2017-12-14,17085.8
2017-12-15,18154.1
2017-12-16,19716.7
2017-12-17,20089
2017-12-18,19371
2017-12-19,19177.8
2017-12-20,17934.7
2017-12-21,17567.7
2017-12-22,15943.4
2017-12-23,15603.2
2017-12-24,14626
2017-12-25,14593
2017-12-26,16461.2
2017-12-27,16930.9
2017-12-28,15888.4
2017-12-29,15279
2017-12-30,14681.9
2017-12-31,14377.4
2018-01-01,14112.2
2018-01-02,15444.6
2018-01-03,15572.8
2018-01-04,15739.7
2018-01-05,17705.2
2018-01-06,17712.4
2018-01-07,17579.6
2018-01-08,16537.9
2018-01-09,15497.5
2018-01-10,14973.3
2018-01-11,15018.8
2018-01-12,14229.9
2018-01-13,14659.5
2018-01-14,14511.8
2018-01-15,14445.5
2018-01-16,13843.1
2018-01-17,11678
2018-01-18,12107.3
2018-01-19,11992.8
2018-01-20,13103
2018-01-21,12895.9
2018-01-22,11966.4
2018-01-23,11377.6
2018-01-24,11501.4
2018-01-25,11785.7
2018-01-26,11656.7
2018-01-27,11614.9
2018-01-28,12040.3
2018-01-29,11875.6
2018-01-30,11307.2
2018-01-31,10381.6
2018-02-01,10288.8
2018-02-02,9142.28
2018-02-03,9430.75
2018-02-04,9334.87
2018-02-05,8364.84
2018-02-06,7850.7
2018-02-07,8509.11
2018-02-08,8558.77
2018-02-09,8736.98
2018-02-10,9122.55
2018-02-11,8616.13
2018-02-12,8985.92
2018-02-13,8958.47
2018-02-14,9518.54
2018-02-15,10234.8
2018-02-16,10324.1
2018-02-17,11139.5
2018-02-18,11349.8
2018-02-19,11273.8
2018-02-20,11958.5
2018-02-21,11418.5
2018-02-22,11039.1
2018-02-23,10487.3
2018-02-24,10597.2
2018-02-25,9923.22
2018-02-26,10475
2018-02-27,10878.5
2018-02-28,11089.8
2018-03-01,11052.3
2018-03-02,11189
2018-03-03,11528.2
2018-03-04,11512.6
2018-03-05,11704.1
2018-03-06,11500.1
2018-03-07,10929.5
2018-03-08,10147.4
2018-03-09,9466.35
2018-03-10,9531.32
2018-03-11,9711.89
2018-03-12,9937.5
2018-03-13,9470.38
2018-03-14,9355.85
2018-03-15,8428.35
2018-03-16,8585.15
2018-03-17,8346.53
2018-03-18,8245.51
2018-03-19,8675.87
2018-03-20,9051.02
2018-03-21,9177.37
2018-03-22,9100.71
2018-03-23,8879.62
2018-03-24,8996.18
2018-03-25,8682.01
2018-03-26,8530.08
2018-03-27,8232.78
2018-03-28,8122.89
2018-03-29,7994.33
2018-03-30,7276.66
2018-03-31,7207.85
2018-04-01,7060.95
2018-04-02,7135.47
2018-04-03,7530.94
2018-04-04,7469.88
2018-04-05,6933.82
2018-04-06,6857.49
2018-04-07,7050.54
2018-04-08,7111.56
2018-04-09,7178.11
2018-04-10,6872.41
2018-04-11,6968.32
2018-04-12,7899.23
2018-04-13,8183.96
2018-04-14,8140.71
2018-04-15,8338.42
2018-04-16,8371.15
2018-04-17,8285.96
2018-04-18,8197.8
2018-04-19,8298.69
2018-04-20,8880.23
2018-04-21,8997.57
2018-04-22,9001.64
2018-04-23,8958.55
